City,Distance
"Marion, KY",609
"Camden, NC",1047
"Unknown, Spain",#ERROR!
"Bay County, MO",671
"Henderson, TX",379
"Philips, AR",381
"Saline District of the Cherokee Nations, AR",671
"Ramasy, MN",1222
"Woodsdale, NC",683
"Anne Arundel County, MD",1123
"Charleston, MS",330
"Cass County, TX",398
"Fort Adams, MS",138
"Magnolia, MS",103
"Saint Mary, LA",#ERROR!
"Currituck, NC",1061
"Jackson Hinds, MS",187
"Mexico City, Mexico",1273
"Arkadelphia, AR",430
"Prairie, AR",421
"Winsborough, SC",702
"Jose Morehouse, LA",287
"New Iberia, LA",134
"Cadiz, Spain",#ERROR!
"Lewis, MO",773
"Burke County, GA",638
"Danville, TX",386
"Boon, IL",986
"Handston, MS",200
"Hampton, VA",1047
"Pleasant Hill, LA",284
"Lafayette, MS",353
